    0    1    2    3    4    5
0   1  5.0  0.0  0.0  0.0  0.0
1   1  9.0  0.0  0.0  0.0  0.0
2   1  6.0  0.0  0.0  0.0  0.0
3   1  6.0  2.0  0.0  0.0  0.0
4   1  6.0  2.0  4.0  0.0  0.0
5   1  6.0  2.0  4.0  3.0  0.0
6   4  0.0  0.0  0.0  0.0  0.0
7   4  1.0  0.0  0.0  0.0  0.0
8   4  1.0  9.0  0.0  0.0  0.0
9   4  1.0  9.0  2.0  0.0  0.0
10  4  1.0  9.0  2.0  5.0  0.0
11  4  1.0  9.0  2.0  5.0  3.0
12  1  0.0  0.0  0.0  0.0  0.0
13  1  3.0  0.0  0.0  0.0  0.0
14  1  3.0  9.0  0.0  0.0  0.0
15  1  3.0  9.0  5.0  0.0  0.0
16  1  3.0  9.0  5.0  2.0  0.0
17  1  3.0  9.0  5.0  2.0  7.0
18  5  0.0  0.0  0.0  0.0  0.0
19  5  4.0  0.0  0.0  0.0  0.0
20  5  4.0  1.0  0.0  0.0  0.0
21  5  4.0  1.0  3.0  0.0  0.0
22  5  4.0  1.0  3.0  9.0  0.0
23  9  0.0  0.0  0.0  0.0  0.0
24  9  5.0  0.0  0.0  0.0  0.0
25  9  5.0  8.0  0.0  0.0  0.0
26  9  5.0  8.0  7.0  0.0  0.0
27  9  5.0  8.0  7.0  1.0  0.0
28  9  5.0  8.0  7.0  1.0  3.0
29  6  0.0  0.0  0.0  0.0  0.0
30  6  5.0  0.0  0.0  0.0  0.0
31  6  5.0  1.0  0.0  0.0  0.0
32  6  5.0  1.0  3.0  0.0  0.0
33  6  5.0  1.0  3.0  9.0  0.0
34  6  5.0  1.0  3.0  9.0  7.0
