codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A607,14/05/2019,14,29.7,30.7,28.5,54,60,52,19.4,20.6,19.2,1012.5,1013.4,1012.5,2.0,226,3.8,2076.,0.0
A607,14/05/2019,11,26.0,26.2,24.2,77,85,76,21.6,22.0,21.4,1014.2,1014.2,1013.8,2.4,221,4.3,908.9,0.0
A607,14/05/2019,17,31.6,31.6,30.5,48,52,48,19.3,20.1,18.7,1009.6,1010.3,1009.6,0.7,144,4.4,1626.,0.0
A607,14/05/2019,19,28.1,28.9,28.1,64,64,62,20.5,21.2,20.4,1009.5,1009.5,1009.3,3.3,128,7.4,528.8,0.0
A607,14/05/2019,05,24.3,24.4,24.2,84,86,84,21.4,21.8,21.4,1013.1,1013.6,1013.1,3.4,204,5.6,-2.85,0.0
A607,14/05/2019,18,28.8,31.8,28.7,63,63,47,21.1,21.1,18.9,1009.3,1009.6,1009.3,4.3,97,7.9,872.8,0.0
A607,14/05/2019,13,29.0,29.5,27.6,58,66,58,20.0,21.2,19.8,1013.4,1014.1,1013.4,1.4,122,4.3,1979.,0.0
A607,14/05/2019,06,24.1,24.3,24.0,85,85,84,21.3,21.5,21.3,1012.8,1013.1,1012.8,3.2,211,6.1,-3.13,0.0
A607,14/05/2019,12,27.6,27.7,26.0,66,77,66,20.7,22.1,20.5,1014.1,1014.2,1014.1,2.4,192,4.3,1614.,0.0
A607,14/05/2019,16,30.6,32.0,30.3,49,53,46,18.8,20.3,18.1,1010.3,1011.5,1010.3,1.8,159,4.4,2757.,0.0
A607,14/05/2019,10,24.2,24.2,22.9,85,89,85,21.6,21.7,20.9,1013.8,1013.8,1013.5,1.9,217,3.9,215.6,0.0
A607,14/05/2019,15,30.9,31.4,29.0,52,58,51,19.8,20.7,19.2,1011.5,1012.5,1011.5,1.6,225,3.8,2275.,0.0
A607,14/05/2019,22,25.5,25.6,25.2,78,78,75,21.4,21.4,20.9,1011.7,1011.7,1010.9,3.0,133,4.8,-2.92,0.0
A607,14/05/2019,08,23.2,23.6,23.2,87,87,86,20.9,21.2,20.9,1013.0,1013.0,1012.7,2.6,206,4.4,-3.54,0.0
A607,14/05/2019,23,25.3,25.5,25.3,79,79,78,21.5,21.5,21.4,1012.2,1012.3,1011.7,1.7,147,4.8,-2.88,0.0
A607,14/05/2019,01,24.7,25.0,24.7,86,86,84,22.2,22.3,22.2,1014.6,1014.7,1014.6,1.9,232,3.7,-1.73,0.0
A607,14/05/2019,07,23.6,24.2,23.6,86,86,84,21.0,21.4,21.0,1012.7,1012.8,1012.6,2.4,218,5.6,-3.53,0.0
A607,14/05/2019,09,23.1,23.3,22.9,88,88,87,21.0,21.1,20.8,1013.6,1013.6,1013.0,2.9,219,4.1,-1.85,0.0
A607,14/05/2019,04,24.2,24.2,23.5,87,89,87,21.8,21.9,21.6,1013.6,1013.9,1013.6,2.3,201,4.2,-2.01,0.0
A607,14/05/2019,03,23.7,24.4,23.7,89,89,86,21.7,22.0,21.7,1013.9,1014.2,1013.9,1.8,225,4.2,-3.34,0.0
A607,14/05/2019,00,25.0,25.4,25.0,84,84,82,22.1,22.2,22.0,1014.6,1014.7,1014.6,2.4,219,4.9,-2.06,0.0
A607,14/05/2019,20,26.8,28.1,26.8,67,67,63,20.2,20.5,20.2,1010.4,1010.4,1009.5,2.6,135,6.7,150.2,0.0
A607,14/05/2019,21,25.6,26.7,25.6,75,75,67,20.9,21.0,20.2,1010.9,1010.9,1010.4,2.5,135,6.2,-2.18,0.0
A607,14/05/2019,02,24.4,24.7,24.4,86,87,86,22.0,22.2,22.0,1014.2,1014.6,1014.2,2.4,217,4.7,-3.05,0.0
A607,15/05/2019,20,22.2,22.6,22.2,81,81,79,18.8,19.0,18.7,1013.2,1013.2,1012.4,1.4,199,4.3,95.02,0.0
A607,15/05/2019,01,25.2,25.3,25.2,79,79,79,21.4,21.4,21.3,1012.3,1012.5,1012.3,1.8,105,3.9,-1.34,0.0
A607,15/05/2019,02,24.9,25.2,24.9,81,81,79,21.3,21.5,21.3,1012.2,1012.5,1012.2,2.0,97,3.4,-2.36,0.0
A607,15/05/2019,03,25.0,25.0,24.7,79,81,79,21.2,21.4,21.1,1011.8,1012.3,1011.8,1.8,98,3.4,-1.99,0.0
A607,15/05/2019,00,25.2,25.5,25.2,79,80,79,21.4,21.5,21.4,1012.4,1012.4,1012.2,1.7,140,4.0,-2.07,0.0
A607,15/05/2019,16,21.9,22.1,20.7,86,93,86,19.4,20.2,19.4,1013.2,1014.1,1013.2,5.8,207,9.0,1044.,0.0
A607,15/05/2019,12,24.9,25.6,24.6,85,85,77,22.2,22.2,21.2,1013.2,1013.4,1012.9,1.0,175,2.4,262.8,0.0
A607,15/05/2019,18,23.0,23.2,22.4,79,82,79,19.1,19.6,18.8,1012.3,1012.7,1012.3,2.6,204,6.1,722.1,0.0
A607,15/05/2019,07,23.5,23.6,23.3,87,88,87,21.2,21.4,21.2,1010.6,1010.9,1010.4,0.8,55,2.0,-1.70,0.0
A607,15/05/2019,11,25.4,25.5,24.6,79,86,78,21.4,22.1,21.2,1012.9,1012.9,1012.3,0.7,247,2.4,436.3,0.0
A607,15/05/2019,09,23.2,23.2,22.8,90,90,89,21.4,21.4,21.0,1011.6,1011.8,1011.2,0.9,201,2.4,7.475,0.0
A607,15/05/2019,13,25.5,25.6,24.8,82,85,80,22.3,22.3,21.6,1013.6,1013.6,1013.1,2.4,199,3.8,508.2,0.0
A607,15/05/2019,17,22.6,22.8,21.9,81,87,81,19.3,19.8,19.1,1012.6,1013.2,1012.6,2.3,189,8.6,789.6,0.0
A607,15/05/2019,15,20.8,21.0,20.5,93,93,92,19.5,19.7,19.2,1014.1,1014.5,1014.0,5.6,215,11.8,415.4,2.2
A607,15/05/2019,21,22.0,22.3,22.0,83,83,81,18.9,19.0,18.7,1013.9,1014.0,1013.2,2.0,196,4.2,-2.60,0.0
A607,15/05/2019,10,24.6,24.6,23.2,86,90,86,22.1,22.1,21.4,1012.4,1012.5,1011.6,1.0,260,2.5,306.5,0.0
A607,15/05/2019,19,22.6,23.0,22.6,80,80,78,18.9,19.3,18.7,1012.4,1012.4,1012.1,2.4,204,6.0,455.1,0.0
A607,15/05/2019,14,20.5,25.6,20.5,92,92,77,19.2,22.2,18.7,1014.1,1014.1,1013.3,7.9,218,15.4,308.3,8.8
A607,15/05/2019,22,21.7,22.2,21.7,82,83,81,18.6,18.9,18.5,1014.5,1014.5,1013.9,2.2,223,4.7,-2.74,0.0
A607,15/05/2019,05,23.4,24.7,23.4,85,85,80,20.8,21.0,20.7,1010.9,1011.4,1010.9,1.9,34,4.4,-3.28,0.0
A607,15/05/2019,23,21.7,21.7,21.6,82,83,82,18.5,18.7,18.5,1014.8,1014.8,1014.5,2.6,202,4.2,-2.65,0.0
A607,15/05/2019,04,24.7,25.0,24.7,80,80,79,21.1,21.2,21.0,1011.4,1011.9,1011.4,2.0,106,4.9,-2.06,0.0
A607,15/05/2019,08,22.8,23.5,22.7,89,89,87,20.9,21.4,20.8,1011.2,1011.2,1010.6,1.6,207,2.1,-2.63,0.0
A607,15/05/2019,06,23.3,23.6,23.2,88,88,85,21.3,21.5,20.8,1010.9,1010.9,1010.8,0.8,180,3.0,-2.17,0.0
A607,16/05/2019,17,23.1,24.5,23.0,84,85,78,20.2,21.4,20.0,1014.9,1015.0,1014.7,2.7,184,6.6,812.7,0.0
A607,16/05/2019,14,25.2,25.2,23.0,74,86,74,20.2,21.1,19.9,1016.1,1016.7,1016.1,3.9,218,6.1,2110.,0.0
A607,16/05/2019,23,21.7,22.0,21.7,88,88,88,19.7,19.9,19.6,1016.6,1016.6,1016.2,2.7,202,4.6,-3.35,0.0
A607,16/05/2019,03,21.3,21.9,21.3,84,84,80,18.4,18.4,18.1,1015.1,1015.2,1015.0,2.3,226,5.0,-3.07,0.0
A607,16/05/2019,02,21.7,21.7,21.4,80,81,80,18.2,18.2,18.0,1015.2,1015.3,1015.1,3.1,212,5.5,-1.92,0.0
A607,16/05/2019,01,21.4,21.7,21.4,81,82,80,18.1,18.2,18.1,1015.2,1015.4,1015.1,2.9,209,5.0,-3.52,0.0
A607,16/05/2019,09,20.9,21.1,20.8,87,87,85,18.6,18.6,18.4,1014.7,1014.7,1014.2,2.3,219,5.1,-0.59,0.0
A607,16/05/2019,10,20.8,21.2,20.8,89,89,85,18.9,18.9,18.5,1015.8,1015.8,1014.7,2.7,162,6.9,47.01,0.2
