 
hs  Pres     Temp   Umid
00  1013.30  17.32  64.63
01  1016.76  15.88  73.39
02  1018.70  14.47  80.69
03  1019.14  13.26  85.50
04  1018.73  12.52  87.68
05  1018.27  12.50  87.54
06  1018.25  13.34  85.37
07  1018.76  15.02  81.35
08  1019.52  17.34  75.62
09  1020.12  19.98  68.45
10  1020.18  22.61  60.46
11  1019.62  24.93  52.61
12  1018.57  26.73  46.17
13  1017.41  27.86  42.36
14  1016.50  28.23  42.01

31  1016.08  27.76  45.23
32  1016.13  26.45  51.18
33  1016.44  24.45  58.30
34  1016.79  22.25  64.75
35  1017.19  20.65  69.19
36  1017.80  20.18  71.56
37  1017.91  19.07  73.03
