VEN_DIR;DT_MEDICAO;DC_NOME;CHUVA;PRE_INS;VL_LATITUDE;PRE_MIN;UMD_MAX;PRE_MAX;VEN_VEL;UF;PTO_MIN;TEM_MAX;RAD_GLO;PTO_INS;VEN_RAJ;TEM_INS;UMD_INS;CD_ESTACAO;TEM_MIN;VL_LONGITUDE;HR_MEDICAO;UMD_MIN;PTO_MAX
96;2020-01-01;MURIAÉ;0;977.3;-21.104867;976.7;76;977.3;0;MG;20;26.2;-3.54;20.2;4.4;24.6;76;A517;24.6;-42.375904;0000;69;20.4
35;2020-01-01;MURIAÉ;0;978;-21.104867;977.3;82;978;0;MG;20.1;24.8;-3.54;20.4;1.7;23.7;82;A517;23.7;-42.375904;0100;76;20.4
41;2020-01-01;MURIAÉ;0;978;-21.104867;977.9;86;978.2;0.2;MG;20.1;23.8;-3.54;20.3;1.1;22.9;85;A517;22.8;-42.375904;0200;81;20.4
73;2020-01-01;MURIAÉ;0;977.7;-21.104867;977.6;88;978.1;0.1;MG;20.1;22.9;-3.54;20.2;1.3;22.4;87;A517;22.4;-42.375904;0300;85;20.4
13;2020-01-01;MURIAÉ;0;977.5;-21.104867;977.5;90;977.7;0;MG;20;22.4;-3.54;20;1;21.9;89;A517;21.9;-42.375904;0400;87;20.4
60;2020-01-01;MURIAÉ;0;976.9;-21.104867;976.9;91;977.5;0;MG;19.9;22;-3.54;20;0;21.5;91;A517;21.5;-42.375904;0500;89;20.1
142;2020-01-01;MURIAÉ;0;976.9;-21.104867;976.9;92;976.9;0;MG;19.7;21.5;-3.54;19.8;0;21.2;92;A517;21.2;-42.375904;0600;90;19.9
327;2020-01-01;MURIAÉ;0;977.2;-21.104867;976.9;94;977.2;0;MG;19.5;21.2;-3.54;19.7;0.8;20.8;94;A517;20.6;-42.375904;0700;92;19.8
15;2020-01-01;MURIAÉ;0;977.6;-21.104867;977.1;94;977.6;0;MG;19.5;20.8;-1.948;19.6;0.5;20.6;94;A517;20.5;-42.375904;0800;94;19.8
220;2020-01-01;MURIAÉ;0;978.1;-21.104867;977.6;95;978.1;0;MG;19.6;21;67.677;20.1;0.9;21;95;A517;20.5;-42.375904;0900;94;20.1
220;2020-01-01;MURIAÉ;0;978.1;-21.104867;978;95;978.1;0.5;MG;20.1;22.5;206.57;20.6;1.1;22.4;90;A517;21;-42.375904;1000;90;20.8
227;2020-01-01;MURIAÉ;0;978.2;-21.104867;978.1;90;978.4;1.1;MG;20.5;25;1214.624;20.5;2.9;24.9;76;A517;22.4;-42.375904;1100;76;21.4
194;2020-01-01;MURIAÉ;0;978;-21.104867;978;77;978.3;0.7;MG;19;27.6;2547.101;19.2;3.5;27.2;61;A517;24.8;-42.375904;1200;61;21.3
58;2020-01-01;MURIAÉ;0;977.4;-21.104867;977.4;62;978;0.4;MG;18.2;30.7;3177.129;20.7;3.8;30.7;55;A517;27.2;-42.375904;1300;53;20.7
319;2020-01-01;MURIAÉ;0;976.6;-21.104867;976.6;57;977.4;0.7;MG;18.5;32.8;3500.407;20.5;3.8;32.7;49;A517;29.1;-42.375904;1400;49;21.4
118;2020-01-01;MURIAÉ;0;975.8;-21.104867;975.8;51;976.6;0.7;MG;18.1;34.1;3639.057;20.5;3.4;33;48;A517;31;-42.375904;1500;42;21
148;2020-01-01;MURIAÉ;0;975.1;-21.104867;975.1;52;975.8;0.7;MG;18.6;34.2;3047.912;19.9;3.6;33.4;45;A517;31.6;-42.375904;1600;43;21.7
82;2020-01-01;MURIAÉ;0;974.1;-21.104867;974.1;48;975.1;1.4;MG;18.4;34.5;3054.845;19;4;31.7;47;A517;31.7;-42.375904;1700;41;20.7
123;2020-01-01;MURIAÉ;0;973;-21.104867;973;52;974.1;0.4;MG;18.6;34.1;1890.468;19.7;3.6;33.8;44;A517;31.3;-42.375904;1800;42;20.8
86;2020-01-01;MURIAÉ;0;972.4;-21.104867;972.4;50;973;0.9;MG;18.9;34;1624.519;19.8;3.6;32.5;47;A517;31.8;-42.375904;1900;43;20.2
